News Story|Category|Rating Change|World State Change |Bullshit Change|Index|Dependencies
Gangnam Style on loop|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|23|null
Michael J Fox disappointed after opening recently shaken soda|Celebrity gossip|2|-1,-1,-1,-1,-1,-1,-1,-1|1|24|null
"Man thinks he is a chipmunk, becomes enraged and attacks wife uts"|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|25|null
Taylor Swift?s ex-boyfriend writes breakup song|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|26|null
Argentina man debates whether or not to eat another donut|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|27|null
Justin Bieber does something dumb|Celebrity gossip|2|-1,-1,-1,-1,-1,-1,-1,-1|1|28|null
Neil Degrasse Tyson takes up career as comic book writer|Celebrity gossip|2|-1,-1,-1,-1,-1,-1,-1,-1|1|29|null
Number of licks to get to the center of a tootsie pop found|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|30|null
"Man depressed after eating entire cake, buys second cake"|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|31|null
Danny Tamberelli finally figured ?it? out|Celebrity gossip|2|-1,-1,-1,-1,-1,-1,-1,-1|1|32|null
Marvel to add Florida Man to the MCU|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|33|null
"Man watches new Star Wars trailer, excited to see ?That silly rabbit guy?"|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|34|null
Kool-aid man breaks down Berlin Wall|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|35|null
"Bloods and Crips unite to form the Saints, now wear purple"|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|36|null
"David Bowie kidnaps child, now hiding in a labyrinth"|Celebrity gossip|2|-1,-1,-1,-1,-1,-1,-1,-1|1|37|null
"Software Developer discovers he is a literary genius, uses it to make fake news headlines"|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|38|null
"Mechanical Engineer discovers she is tired, can?t think straight enough to tell her friends"|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|39|null
Cannibal argues that he eats vegan|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|40|null
"Man exposes self in park, receives round of applause"|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|41|null
Gay men can?t park straight|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|42|null
Discovery Channel accidentally airs Shart Week|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|43|null
"1,000,000 year old twinkie found on shelf"|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|44|null
"Japanese man had bad day, commits to playing sudoku "|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|45|null
Arnold Schwarzenegger admits to having a tumor|Celebrity gossip|2|-1,-1,-1,-1,-1,-1,-1,-1|1|46|null
PLEASE NOTICE ME SENPAI!|Filler????|2|-1,-1,-1,-1,-1,-1,-1,-1|1|47|null
Polish teacher confuses students when talking about Corba.|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|48|null
"Grandma sends Nigerian prince $50, get $5,000,000 in return"|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|49|null
Puppy orphanage burns down|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|50|null
Kim Jong Un immigrates to South Korea for faster internet speeds|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|51|null
Wildfire Spreading across Mexico|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|52|null
Kaiju Attack Underway in Tokyo|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|53|null
Siberia overrun by an army of man-mantises |Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|54|null
Putin reforms Soviet Union|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|55|null
German European Union at war with Neo-Soviet Union over ownership of Poland|2|-1,-1,-1,-1,-1,-1,-1,-1|1||56|null
Oregon Government taken over by Neo-Nazi Party|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|57|null
Super Swarm of Bees (?) Engulfing South America|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|58|null
Mobile Boxcar Village formed by California Hobos|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|59|null
Bro with monster tattoo claims Rockstar addiction|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|60|null
"Brawlpunk fans disappointed by repetitive,, simplistic gameplay"|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|61|null
Diet pill recall after man implodes|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|62|null
32 dead in ball-pit accident|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|63|null
"Poland declares independence, summons Cthulhu"|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|64|null
British coast raided by Vikings|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|65|null
Cactus gains sentience|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|66|null
"Man?s consciousness put into a box, he does not want to be a box"|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|67|null
Salem woman accused of being a witch after showing he friend cloud computing|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|68|null
Bear Grylls killed by new species of anteater|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|69|null
"Michael Jordan experiences concussion, loses memory of Space Jam"|Celebrity gossip|2|-1,-1,-1,-1,-1,-1,-1,-1|1|70|null
Super Hero experiences pain for the first time|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|71|null
"Man proposes to girl, what she does next will shock you"|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|72|null
African village destroyed by garbage fire|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|73|null
Tasmanian Devil in negotiations with Devil on territory agreement|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|74|null
"Airplane found to be filled with snakes, pilots delay flight"|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|75|null
Wizard escapes 4th dimension|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|76|null
"Hundreds of monkeys typewrite Romeo & Juliet, accused of plagiarism "|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|77|null
"Tin foil hats are a health hazard, study finds"|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|78|null
Man discovers that 39 monkeys will fit into a barrel|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|79|null
Bears wearing bullet-proof vests roam the streets of Detroit|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|80|null
Mutant badgers burning women and raping churches in Utah|???|2|-1,-1,-1,-1,-1,-1,-1,-1|1|81|null
Nerds riot over new Aquaman costume|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|82|null
"Aliens land in Johannesburg, local population steals spaceship"|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|83|null
Blood sacrifice in India opens portal to hell|Headliner?|2|-1,-1,-1,-1,-1,-1,-1,-1|1|84|null
Dr. Mario sued for not being a real doctor|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|85|null
"Man attempts to aid South America with an influx of bees, it does not help"|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|86|null
Sentient Cacti form colony in the Mojave desert|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|87|null
Sentient Cacti found to have hive mind |Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|88|null
Sentient Cacti invade Las Vegas|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|89|null
Vampire claims bloodbank fired him due to supernatural discrimination|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|90|null
Nevada Werewolves concerned over silver content in water supply |Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|91|null
New Zealand goats unite in the streets of Wellington|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|92|null
Faux cancels popular show Butterfly much to fans dismay|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|93|null
Study finds not being a fat piece of shit reduces rate of heart failure|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|94|null
50 year old woman gives birth to 70 year old baby|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|95|null
"Large fire destroys New Jersey, nation rejoices"|Headliner|2|-1,-1,-1,-1,-1,-1,-1,-1|1|96|null
Whoopi Goldberg regrows eyebrows|Celebrity gossip|2|-1,-1,-1,-1,-1,-1,-1,-1|1|97|null
Ground control regains contact with Major Tom|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|98|null
Children are ?horrid little beasts? study finds|Filler|2|-1,-1,-1,-1,-1,-1,-1,-1|1|99|null
